epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.3694323678405917,0.561734693877551,0.8980634283451807,0.7404761904761905,0.001
2,0.7441071117410855,0.7637755102040816,0.7776420888446626,0.75,0.0005005000000000001
3,0.4802073822945965,0.8448979591836735,0.6225929683163053,0.7976190476190477,0.001
4,0.4454996158882063,0.85,0.7227612921169826,0.7880952380952381,0.0008536998372026805
5,0.36500219100592085,0.8836734693877552,0.6600074384893689,0.8261904761904761,0.00025025000000000004
